Identifiant ICAR;Code postal;Code rue;ICAR - Code rue RN;Code ins commune;Localité;Secteur Electoral;Nom rue;Année de dénomination;Nom rue Population;Code postal Homonyme2;Code rue Homonyme2;Rue nom Homonyme2;Code postal Homonyme3;Code rue Homonyme3;Rue nom Homonyme3;Code postal Homonyme4;Code rue Homonyme4;Rue nom Homonyme4;Collège communal;Conseil Communal;Nom rue RN;Type voirie;Rue dans Corbeille;Voirie Privée/Publique;Rue Régionale/Communale;Nom rue Cadastre;Rue en Majuscule;Nom rue en Minuscule;Mot clé;Code Ins Entité;Entité;Date données Population;Nombre Ménages;Nombre Habitants;Code rue - Nom de rue;Thématique;Localités;Zone(s) stationnement
7754214;5020;6449;6449;92082;MALONNE;23;Rue du Grand-Babin;;Rue du Grand-Babin(ML);;;;;;;;;;;;;VOIRIE;;PUBLIQUE;COMMUNALE;R DU GRAND BABIN;GRAND-BABIN (Rue du );Grand-Babin (Rue du );Grand-Babin;92094;Namur;2023-05-07;43;116;6449-Rue du Grand-Babin;Géographie;Malonne;
7753294;5020;6451;6451;92082;MALONNE;23;Chemin Gribousine;1981;Chemin Gribousine(ML)(AVANT 01.01.81 Ptie Basse-Fontaine);;;;;;;;;;;;;VOIRIE;;PUBLIQUE;COMMUNALE;CHEM GRIBOUSINE;GRIBOUSINE (Chemin );Gribousine (Chemin );Gribousine;92094;Namur;2023-05-07;7;13;6451-Chemin Gribousine;Pas de renseignement;Malonne;
7753283;5020;6452;6452;92082;MALONNE;23;Chemin du Gros-Buisson;;Chemin du Gros-Buisson(ML);;;;;;;;;;;;;VOIRIE;;PUBLIQUE;COMMUNALE;CHEM DU GROS BUISSON;GROS-BUISSON (Chemin du );Gros-Buisson (Chemin du );Gros-Buisson;92094;Namur;2023-05-07;6;15;6452-Chemin du Gros-Buisson;Lieu-dit;Malonne;
7753448;5020;6474;6474;92082;MALONNE;23;Mauvais Trî-Mwais Trî;1981;Mauvais Trî-Mwais Trî(ML)(AVANT 01.01.81 Ptie Champs);;;;;;;;;;;;;VOIRIE;;PUBLIQUE;COMMUNALE;MAUVAIS TRI;MAUVAIS TRI-MWAIS TRI;Mauvais Trî-Mwais Trî;Mauvais Trî-Mwais Trî;92094;Namur;2023-05-07;4;18;6474-Mauvais Trî-Mwais Trî;Lieu-dit;Malonne;
7753529;5000;1642;1642;92094;NAMUR;04;Place Louise Godin;;Place Louise Godin(NR);;;;;;;;;;;;;VOIRIE;;PUBLIQUE;REGIONALE;PL LOUISE GODIN;GODIN (Place Louise );Godin (Place Louise );Godin;92094;Namur;2023-05-07;12;36;1642-Place Louise Godin;Nom propre (féminin);Namur;Verte
7753722;5000;1246;1246;92094;NAMUR;02;Rue de Gravière;;Rue de Gravière(NR);;;;;;;;;;;;;VOIRIE;CORBEILLE;PUBLIQUE;COMMUNALE;R DE GRAVIERE;GRAVIERE (Rue de );Gravière (Rue de );Gravière;92094;Namur;2023-05-07;33;67;1246-Rue de Gravière;Topo;Namur;Rouge
7754473;5000;1028;1028;92094;NAMUR;01;Rue Koller;;Rue Koller(NR);;;;;;;;;;;;;VOIRIE;;PUBLIQUE;COMMUNALE;R KOLLER;KOLLER (Rue );Koller (Rue );Koller;92094;Namur;2023-05-07;24;52;1028-Rue Koller;Pas de renseignement;Namur;
7753319;5000;1667;1667;92094;NAMUR;04;Cité Provis;;Cité Provis(NR);;;;;;;;;;;;;VOIRIE;;PRIVEE;COMMUNALE;CITE PROVIS;PROVIS (Cité );Provis (Cité );Provis;92094;Namur;2023-05-07;6;20;1667-Cité Provis;Pas de renseignement;Namur;
7753822;5100;9052;9052;92136;WIERDE;33;Rue de la Valérianne;;Rue de la Valérianne(WD);;;;;;;;;;;;;VOIRIE;;PUBLIQUE;COMMUNALE;R DE LA VALERIANNE;VALERIANNE (Rue de la );Valérianne (Rue de la );Valérianne;92094;Namur;2023-05-07;1;3;9052-Rue de la Valérianne;Faune et Flore;Wierde;
7753825;5100;9054;9054;92136;WIERDE;33;Rue de la Véronique;1979;Rue de la Véronique(WD)(AVANT 28.05.79 Ptie Square des Gives);;;;;;;;;;1979-05-28;1979-05-28;1979-05-28;VOIRIE;;PUBLIQUE;COMMUNALE;R DE LA VERONIQUE;VERONIQUE (Rue de la );Véronique (Rue de la );Véronique;92094;Namur;2023-05-07;13;31;9054-Rue de la Véronique;Faune et Flore;Wierde;
