Type FR;Type NL;Type ENG;Adresse;Adres;Quartier;Wijk;WGS84_LONG;WGS84_LAT;WGS84_LALO;Accèssibilité PMR / Toegankelijkheid PBM;Gratuit / Gratis;Gestion/Beheer;Heures d'ouverture / Openingsuren;Type;Rue;Lokalisatie/localisation;Huisnummer/n° de rue;NIVEAU
TOILETTE;TOILET;TOILET;2, Rue des Oeillets;2, Anjelierenstraat;Pentagone;Vijfhoek;4.357108912072679;50.852235590034994;50.852235590034994, 4.357108912072679;Ja / Oui;Gratuit / Gratis;Stad Brussel / Ville de Bruxelles;24h/24h;Openbaar toilet / Toilette publique;Rue aux Choux;angle rue des Oeillets;23;0
TOILETTE;TOILET;TOILET;161, Rue Neuve;161, Nieuwstraat;Pentagone;Vijfhoek;4.3583850634115855;50.85482154947404;50.85482154947404, 4.3583850634115855;Ja / Oui;Gratuit / Gratis;Privé;08:00-19:00;Privaat uitgebaat toilet / Toilette exploitée par le privé;Rue Neuve;Shopping center City 2 (niveau +2);123;2
TOILETTE;TOILET;TOILET;217, Rue Marie-Christine;217, Maria-Christinastraat;Laeken;Laken;4.348904710710512;50.87720252581487;50.87720252581487, 4.348904710710512;Nee / Non;Gratuit / Gratis;Privé;11:00 - 22:00;Gastvrije toiletten / Toilettes accueillantes;Rue Marie-Christine;Le Panorama Bar;217;0
TOILETTE;TOILET;TOILET;120, Rue de Lombartzyde;120, Lombardsijdestraat;Neder-Over-Heembeek/Mutsaard;Neder-Over-Heembeek/Mutsaard;4.3768323633869;50.89288033082788;50.89288033082788, 4.3768323633869;null;?;Privé;Lu-Ve: 8h-22h30 Sa-Di:09h-22h;Gastvrije toiletten / Toilettes accueillantes;Rue Lombartzijde;Centre Sportif NOH;120;0
TOILETTE;TOILET;TOILET;18, Rue Joseph Stevens;18, Joseph Stevensstraat;Pentagone;Vijfhoek;4.352663470742073;50.84154420202694;50.84154420202694, 4.352663470742073;null;?;null;null;Gastvrije toiletten / Toilettes accueillantes;Rue Joseph Stevens;Le Skievelat Sablon;18;0
TOILETTE;TOILET;TOILET;241, Rue De Wand;241, De Wandstraat;Neder-Over-Heembeek/Mutsaard;Neder-Over-Heembeek/Mutsaard;4.360712145438072;50.90049909181031;50.90049909181031, 4.360712145438072;Nee / Non;Gratuit / Gratis;Privé;11:00 - 22:00;Gastvrije toiletten / Toilettes accueillantes;Rue De Wand;Pipet;241;0
TOILETTE;TOILET;TOILET;225, Rue Bruyn;225, Bruynstraat;Neder-Over-Heembeek/Mutsaard;Neder-Over-Heembeek/Mutsaard;4.3888723070019715;50.90870569154857;50.90870569154857, 4.3888723070019715;Ja / Oui;?;null;null;Gastvrije toiletten / Toilettes accueillantes;Rue Bruyn;Maison de Quartier Bruyn;225;0
TOILETTE;TOILET;TOILET;38, Rue Auguste Orts;38, Auguste Ortsstraat;Pentagone;Vijfhoek;4.348083990010433;50.848785952003915;50.848785952003915, 4.348083990010433;Nee / Non;Gratuit / Gratis;Privé;10:00 - 23:00;Gastvrije toiletten / Toilettes accueillantes;Rue Auguste Orts;Restaurant La Pièce;38;0
TOILETTE;TOILET;TOILET;203, Rue Arthur Maes;203, Arthur Maesstraat;Haren;Haren;4.429729321914903;50.88642832701873;50.88642832701873, 4.429729321914903;Nee / Non;Payant / Betalend;MIVB / STIB;24h/24h;Openbaar toilet / Toilette publique;Rue Arthur Maes;arrêt de bus STIB / bushalte MIVB;203;0
TOILETTE;TOILET;TOILET;30, Rue de l'Hectolitre;30, Hectoliterstraat;Pentagone;Vijfhoek;4.344891509934383;50.83681565015721;50.83681565015721, 4.344891509934383;Nee / Non;Gratuit / Gratis;Privé;11:00 - 22:00;Gastvrije toiletten / Toilettes accueillantes;Place du Jeu de Balle;Le Pavé;35;0
