Geo Point;Geo Shape;Identifiant;Code rue (ICAR / BeStaddress);Rue;Code rue;Numéro;Identifiant d'adresse (ICAR / BeStaddress);Commune;Code postal;Places disponibles;Date de création;Date de dernière modification;Statut;Année de mise en service;Largeur;Longueur;Ville
50.6765824877, 5.5454338356;"{""coordinates"": [5.5454338356, 50.6765824877], ""type"": ""Point""}";1732;7729709;chaussée de Tongres;8227;437;1113056;Liège;4000;1;2021-08-19;2021-08-19;Existant;;;;Liège
50.6778282595, 5.5447847218;"{""coordinates"": [5.5447847218, 50.6778282595], ""type"": ""Point""}";980;7729709;chaussée de Tongres;8227;482;1110959;Liège;4000;1;2013-05-30;2021-09-02;Existant;;;;Liège
50.6741199361, 5.5465484626;"{""coordinates"": [5.5465484626, 50.6741199361], ""type"": ""Point""}";678;7729709;chaussée de Tongres;8227;347;1446900;Liège;4000;1;2013-05-30;2021-08-19;Existant;;;;Liège
50.6472190263, 5.5763569061;"{""coordinates"": [5.5763569061, 50.6472190263], ""type"": ""Point""}";1343;7729789;cour des Mineurs;567;6;1873544;Liège;4000;1;2021-03-25;2021-03-25;Existant;;;;Liège
50.6638312124, 5.6060597298;"{""coordinates"": [5.6060597298, 50.6638312124], ""type"": ""Point""}";1464;7729927;Lavaniste-Voie;227;80;1105032;Liège;4000;1;2021-03-26;2021-03-26;Existant;;;;Liège
50.6284855781, 5.5777194698;"{""coordinates"": [5.5777194698, 50.6284855781], ""type"": ""Point""}";1723;7730135;quai Mativa;1235;1;1123961;Liège;4020;10;2021-08-18;2021-08-18;Existant;;;;Liège
50.6417348687, 5.5758185226;"{""coordinates"": [5.5758185226, 50.6417348687], ""type"": ""Point""}";1329;7729966;place Cockerill;127;2;1132165;Liège;4000;2;2021-03-25;2021-03-25;Existant;;;;Liège
50.6707250171, 5.6575211743;"{""coordinates"": [5.6575211743, 50.6707250171], ""type"": ""Point""}";753;7729984;place d'Elmer;6614;1;1114885;Liège;4020;1;2013-05-30;2013-05-30;Existant;;;;Liège
50.6297074036, 5.5772842799;"{""coordinates"": [5.5772842799, 50.6297074036], ""type"": ""Point""}";1503;7730013;place du Parc;77;87;1132609;Liège;4020;2;2021-03-26;2021-03-26;Existant;;;;Liège
50.6171178025, 5.6209029016;"{""coordinates"": [5.6209029016, 50.6171178025], ""type"": ""Point""}";1439;7730033;place Hubert Pissard;7541;4;1115279;Liège;4032;1;2021-03-26;2021-03-26;Existant;;;;Liège
50.6121714539, 5.614148597;"{""coordinates"": [5.614148597, 50.6121714539], ""type"": ""Point""}";1454;7730038;place Joseph Willem;7428;16;1106734;Liège;4032;1;2021-03-26;2021-03-26;Existant;;;;Liège
50.6475231572, 5.5822292334;"{""coordinates"": [5.5822292334, 50.6475231572], ""type"": ""Point""}";1680;7730047;place Saint-Barthélemy;576;3;1106674;Liège;4000;1;2021-04-08;2021-04-08;Existant;;;;Liège
50.6400323056, 5.5712376082;"{""coordinates"": [5.5712376082, 50.6400323056], ""type"": ""Point""}";1560;7730057;place Saint-Paul;263;2;1872025;Liège;4000;3;2021-03-27;2021-03-27;Existant;;;;Liège
50.6383129529, 5.586175144;"{""coordinates"": [5.586175144, 50.6383129529], ""type"": ""Point""}";988;7730060;place Théodore Gobert;681;11;1126514;Liège;4020;1;2013-05-30;2021-09-02;Existant;;;;Liège
50.6507583509, 5.5921086819;"{""coordinates"": [5.5921086819, 50.6507583509], ""type"": ""Point""}";1489;7730062;place Vieille-Montagne;511;11;1126499;Liège;4000;1;2021-03-26;2021-03-26;Existant;;;;Liège
50.6431546145, 5.5684292324;"{""coordinates"": [5.5684292324, 50.6431546145], ""type"": ""Point""}";1797;7730065;place Xavier Neujean;1111;13;1872431;Liège;4000;3;2021-08-27;2021-08-27;Existant;;;;Liège
50.6458609571, 5.5787051551;"{""coordinates"": [5.5787051551, 50.6458609571], ""type"": ""Point""}";1721;7730104;Potiérue;173;3;1965634;Liège;4000;2;2021-06-15;2021-06-15;Existant;;;;Liège
50.6347989904, 5.5766964835;"{""coordinates"": [5.5766964835, 50.6347989904], ""type"": ""Point""}";637;7730107;quai Churchill;723;29;1872044;Liège;4020;1;2013-05-30;2021-04-13;Existant;;;;Liège
50.6305791157, 5.5774041412;"{""coordinates"": [5.5774041412, 50.6305791157], ""type"": ""Point""}";649;7730110;quai de la Boverie;716;99;1235412;Liège;4020;1;2013-05-30;2021-08-18;Existant;;;;Liège
50.6375506716, 5.5833029267;"{""coordinates"": [5.5833029267, 50.6375506716], ""type"": ""Point""}";775;7730116;quai de l'Ourthe;65;27;1226856;Liège;4020;3;2013-05-30;2013-05-30;Existant;;;;Liège
50.6256749991, 5.5746988309;"{""coordinates"": [5.5746988309, 50.6256749991], ""type"": ""Point""}";868;7730118;quai de Rome;366;22;1108031;Liège;4000;2;2013-05-30;2013-05-30;Existant;;;;Liège
50.6524704106, 5.6112473585;"{""coordinates"": [5.6112473585, 50.6524704106], ""type"": ""Point""}";1214;7730119;quai de Wallonie;539;6;1873498;Liège;4000;10;;2021-09-02;Existant;;;;Liège
50.61136681, 5.6148316426;"{""coordinates"": [5.6148316426, 50.61136681], ""type"": ""Point""}";1453;7730038;place Joseph Willem;7428;7;1106729;Liège;4032;1;2021-03-26;2022-05-23;Existant;;;;Liège
50.6147464383, 5.6101707837;"{""coordinates"": [5.6101707837, 50.6147464383], ""type"": ""Point""}";1211;7730120;quai des Ardennes;742;159;1134359;Liège;4032;1;;2021-09-02;Existant;;;;Liège
50.6410783534, 5.5892238271;"{""coordinates"": [5.5892238271, 50.6410783534], ""type"": ""Point""}";906;7730111;quai de la Dérivation;622;42;1235381;Liège;4020;1;2013-05-30;2013-05-30;Existant;;;;Liège
50.6407715219, 5.5789209231;"{""coordinates"": [5.5789209231, 50.6407715219], ""type"": ""Point""}";933;7730128;quai Edouard Van Beneden;626;3;1108433;Liège;4020;1;2013-05-30;2013-05-30;Existant;;;;Liège
50.6384993353, 5.5784554604;"{""coordinates"": [5.5784554604, 50.6384993353], ""type"": ""Point""}";710;7730128;quai Edouard Van Beneden;626;23;1108438;Liège;4020;1;2013-05-30;2013-05-30;Existant;;;;Liège
50.6481826859, 5.6000652505;"{""coordinates"": [5.6000652505, 50.6481826859], ""type"": ""Point""}";740;7730130;quai Godefroid Kurth;632;100;1108418;Liège;4020;2;2013-05-30;2013-05-30;Existant;;;;Liège
50.6044309288, 5.6266800717;"{""coordinates"": [5.6266800717, 50.6044309288], ""type"": ""Point""}";1209;7730131;quai Henri Borguet;7483;137;1134769;Liège;4032;1;;2021-09-02;Existant;;;;Liège
50.6352850695, 5.5756522785;"{""coordinates"": [5.5756522785, 50.6352850695], ""type"": ""Point""}";1475;7730134;quai Marcellis;763;8;1123963;Liège;4020;1;2021-03-26;2021-03-26;Existant;;;;Liège
50.6334379983, 5.577954909;"{""coordinates"": [5.577954909, 50.6334379983], ""type"": ""Point""}";874;7730137;quai Orban;769;52;1117444;Liège;4020;1;2013-05-30;2021-08-25;Existant;;;;Liège
50.6422271556, 5.5768330563;"{""coordinates"": [5.5768330563, 50.6422271556], ""type"": ""Point""}";1044;7730143;quai Sur Meuse;113;18;1132999;Liège;4000;3;2013-05-30;2021-03-27;Existant;;;;Liège
50.6113927156, 5.5625377949;"{""coordinates"": [5.5625377949, 50.6113927156], ""type"": ""Point""}";1731;7730147;résidence Fraternité;9826;5;1135198;Liège;4000;1;2021-08-19;2021-08-19;Existant;;;;Liège
50.6542759841, 5.604916797;"{""coordinates"": [5.604916797, 50.6542759841], ""type"": ""Point""}";1250;7730158;rue Adolphe Borgnet;58;8;1115868;Liège;4000;1;;2021-03-25;Existant;;;;Liège
50.6125771479, 5.5883781426;"{""coordinates"": [5.5883781426, 50.6125771479], ""type"": ""Point""}";1306;7730179;rue Artus Bris;722;30;1127890;Liège;4031;1;2021-03-25;2021-03-25;Existant;;;;Liège
